Datum;Typ;Beskrivning;Belopp
31 mars 2025;Köp;=" Apple.com/bill           , 020100529    ";-12
31 mars 2025;Köp;=" Klarna*foodpharmacy.     , Stockholm    ";-764,15
30 mars 2025;Köp;=" Klarna*trendrehab.se     , Umea         ";-5176
28 mars 2025;Köp;=" Qstar Atran 0062         , Atran        ";-547,69
26 mars 2025;Köp;=" Ledmegastore.se          , +46313011889 ";-225
21 mars 2025;Köp;=" Vc Ullared               , Ullared      ";-100
21 mars 2025;Köp;=" Gekaas Ullared Shoppa    , Ullared      ";-649,67
19 mars 2025;Köp;=" Spotify P351171146       , Stockholm    ";-169
18 mars 2025;Köp;=" Microsoft*microsoft 365 B, Msbill.info  ";-15,99
15 mars 2025;Köp;=" Fynda Falkenber          , Falkenberg   ";-187,75
15 mars 2025;Köp;=" Kronans Fisk             , Varberg      ";-346,93
15 mars 2025;Köp;=" Cafe Mignon              , Varberg      ";-88
12 mars 2025;Köp;=" Gekaas Ullared Shoppa    , Ullared      ";-477,07
8 mars 2025;Köp;=" Willys Falkenberg Ta     , Falkenberg   ";-395,74
6 mars 2025;Köp;=" Klarna*apotea            , Stockholm    ";-460,06
5 mars 2025;Köp;=" Gekaas Ullared Ata       , Ullared      ";-74
5 mars 2025;Köp;=" Gekaas Ullared Shoppa    , Ullared      ";-1032,89
3 mars 2025;Köp;=" Lyko.com                 , Stockholm    ";-328
2 mars 2025;Köp;=" St1 Gaanghester Aplared  , Gaanghester  ";-644,42
